,url,name_txt,short_about_txt,last_role,company_txt
0,https://www.linkedin.com/in/satyanadella/,Satya Nadella,Chairman and CEO at Microsoft,Chairman and CEO,Microsoft
1,https://www.linkedin.com/in/dave-mckay-4189071/,Dave McKay,President & CEO at RBC,President & CEO,RBC
